Main food description,Protein,Carbohydrate,Fiber,Vitamin A,Thiamin,Riboflavin,Niacin,Vitamin B-6,Folate,Vitamin B-12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Phosphorus,Magnesium,Iron,Zinc,Copper,Selenium,Potassium,Sodium,Theobromine
Oyster fritter,6.93,5.22,0.2,0.083333333,0.125,0.173,1.056,0.086,0.013,0.01199,3.1,0.0002,1.68,0.0243,45,129,42,5.24,66.7,3.28,0.0000302,193,420,0
Flounder with crab stuffing,15.08,5.72,0.3,0.046041667,0.068,0.082,1.797,0.123,0.025,0.00151,1.8,0.0025,1.27,0.0145,65,271,26,0.72,1.18,0.195,0.0000334,210,431,0
Lobster with bread stuffing baked,14.98,9.83,0.5,0.060458333,0.095,0.057,2.031,0.097,0.023,0.001,0.2,0,0.93,0.0006,110,152,35,0.86,2.96,1.089,0.0000548,187,656,0
Clams Casino,8.73,9.83,1.2,0.064875,0.097,0.072,1.069,0.103,0.016,0.00442,14.7,0.0001,0.74,0.0096,43,101,18,1.19,0.49,0.068,0.0000166,159,326,0
Mackerel cake or patty,16.54,10.76,1.2,0.1125,0.095,0.227,4.574,0.19,0.013,0.00335,0.5,0.0046,1.5,0.0069,171,236,32,1.72,0.91,0.107,0.0000269,287,410,0
Haddock cake or patty,13.93,10.31,1.1,0.046875,0.109,0.132,2.052,0.201,0.014,0.00065,0.5,0.0008,1.21,0.0063,33,183,30,0.7,0.57,0.035,0.0000233,432,282,0
Shrimp cake or patty,18.1,3.67,0.2,0.085416667,0.055,0.074,2.112,0.2,0.025,0.00129,0.3,0.0003,2.63,0.0241,78,247,30,0.57,1.36,0.204,0.0000395,151,182,0
Shrimp with crab stuffing,16.39,6.09,0.3,0.066708333,0.08,0.132,2.473,0.167,0.046,0.00212,1.7,0.0004,2.08,0.0056,79,245,30,0.87,2.4,0.478,0.0000382,198,539,0
Shrimp toast fried,8.45,11.73,0.8,0.024291667,0.079,0.074,1.523,0.102,0.024,0.00043,2.6,0,2.47,0.0308,59,134,18,0.77,0.64,0.123,0.000018,134,596,0
Seafood restructured,7.62,15,0.5,0,0.03,0.08,0.62,0.13,0,0.00057,0,0,0.17,0.0004,13,282,43,0.39,0.33,0.032,0.0000223,90,529,0
Seafood souffle,9.91,5.49,0.1,0.124041667,0.058,0.212,1.372,0.103,0.02,0.00087,0.6,0.0011,0.73,0.0007,92,147,16,0.98,1.06,0.114,0.0000234,150,435,0
Tuna noodle casserole with cream or white sauce,10.12,15.4,0.7,0.077166667,0.182,0.153,4.589,0.194,0.036,0.00109,0,0.0009,0.59,0.0024,65,119,22,1.41,0.68,0.066,0.0000338,141,255,0
Tuna noodle casserole with mushroom sauce,9.02,13.92,0.8,0.034375,0.141,0.108,4.266,0.133,0.03,0.00092,0,0.0006,0.37,0.0063,38,95,18,1.29,0.57,0.065,0.0000316,116,331,0
Tuna and rice with mushroom sauce,4.57,15.39,0.4,0.008333333,0.088,0.035,2.167,0.097,0.028,0.00041,0,0.0003,0.59,0.0093,22,55,11,0.84,0.39,0.045,0.0000139,73,298,0
Fish and rice with tomato-based sauce,5.41,16.53,0.7,0.002375,0.107,0.04,1.489,0.125,0.035,0.00017,2.4,0.0002,1.16,0.0065,12,53,18,1.02,0.42,0.078,0.0000101,151,310,0
Fish and rice with cream sauce,5.53,15.75,0.2,0.040666667,0.113,0.062,1.162,0.132,0.031,0.00027,0.2,0.0005,0.62,0.0036,41,69,15,0.71,0.44,0.042,0.0000099,94,308,0
Fish and rice with mushroom sauce,5.34,16.12,0.4,0.008333333,0.101,0.036,1.193,0.096,0.03,0.00021,0.2,0.0003,0.66,0.0095,23,58,14,0.71,0.4,0.045,0.0000101,86,307,0
Fish and noodles with mushroom sauce,6.3,14.79,0.8,0.011458333,0.164,0.096,1.498,0.074,0.043,0.00025,0.2,0.0004,0.61,0.0084,24,75,19,0.85,0.48,0.06,0.0000183,89,312,0
Shellfish and noodles with tomato-based sauce,6.58,15.74,1.1,0.023208333,0.167,0.101,1.688,0.077,0.05,0.00167,2.2,0.0001,1.24,0.0052,23,100,22,1.34,0.62,0.117,0.000021,179,239,0
Stewed salmon Puerto Rican style,12.02,8.47,1.3,0.0095,0.043,0.124,3.955,0.279,0.015,0.00233,7.2,0.0076,1.1,0.0054,131,215,29,0.84,0.58,0.112,0.0000188,401,448,0
Meat loaf NS as to type of meat,17.5,7.19,0.4,0.021875,0.083,0.182,3.742,0.277,0.019,0.00165,0.6,0.0003,0.17,0.0011,65,170,20,2.05,3.82,0.072,0.0000169,274,419,0
Meatballs with breading NS as to type of meat with gravy,12.22,6.28,0.4,0.008333333,0.062,0.131,2.557,0.173,0.013,0.00105,0.4,0.0001,0.11,0.0007,42,116,13,1.54,2.74,0.084,0.0000109,200,501,0
Meat loaf made with beef and pork,17.28,7.17,0.4,0.021875,0.168,0.209,3.518,0.261,0.018,0.00137,0.7,0.0004,0.19,0.0009,64,170,19,1.87,3.5,0.077,0.0000192,269,416,0
Meat loaf made with beef veal and pork,17.28,7.17,0.4,0.021875,0.176,0.211,3.569,0.262,0.02,0.00137,0.7,0.0004,0.19,0.0009,64,170,19,1.87,3.5,0.077,0.0000192,269,416,0
Meat loaf made with beef and pork with tomato-based sauce,13.64,6.75,0.7,0.016875,0.135,0.176,2.945,0.224,0.016,0.00106,2.1,0.0003,0.47,0.0013,52,137,18,1.66,2.76,0.086,0.000015,275,429,0
Hash NS as to type of meat,8.73,9.27,1.1,0,0.069,0.05,1.572,0.231,0.007,0.00041,0.9,0,0.04,0.0018,19,56,13,1,1.4,0,0.0000075,172,412,0
Vienna sausages stewed with potatoes Puerto Rican style,5.08,13.07,1.7,0.000208333,0.085,0.067,1.367,0.253,0.012,0.00031,15.7,0.0002,1.47,0.0136,16,60,20,1,0.76,0.103,0.0000059,359,466,0
Liver dumpling,23.11,12.78,0.7,6.493625,0.211,2.35,12.1,0.71,0.189,0.04589,2.7,0.0016,1.67,0.0406,48,384,23,5.33,3.86,9.301,0.0000337,299,716,0
