Main food description,Protein,Carbohydrate,Fiber,Vitamin A,Thiamin,Riboflavin,Niacin,Vitamin B-6,Folate,Vitamin B-12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Phosphorus,Magnesium,Iron,Zinc,Copper,Selenium,Potassium,Sodium,Theobromine
Milk human,1.03,6.89,0,0.062541667,0.014,0.036,0.177,0.011,0.005,0.00005,5,0.0001,0.08,0.0003,32,14,3,0.03,0.17,0.052,0.0000018,51,17,0
Milk NFS,3.34,4.87,0,0.060458333,0.057,0.137,0.11,0.06,0.001,0.00056,0.1,0.0011,0.03,0.0002,126,103,12,0,0.42,0.001,0.0000019,157,39,0
Milk whole,3.28,4.67,0,0.032333333,0.056,0.138,0.105,0.061,0,0.00054,0,0.0011,0.05,0.0003,123,101,12,0,0.41,0.001,0.0000019,150,38,0
Milk low sodium whole,3.1,4.46,0,0.029208333,0.02,0.105,0.043,0.034,0.005,0.00036,0.9,0.0013,0.08,0.0003,101,86,5,0.05,0.38,0.01,0.000002,253,3,0
Milk calcium fortified whole,3.28,4.67,0,0.032333333,0.056,0.138,0.105,0.061,0,0.00054,0,0.0011,0.05,0.0003,123,101,12,0,0.41,0.001,0.0000019,150,38,0
Milk calcium fortified low fat (1%),3.38,5.19,0,0.060416667,0.057,0.14,0.113,0.06,0.002,0.00061,0,0.0011,0.02,0.0001,126,103,12,0,0.43,0.001,0.0000021,159,39,0
Milk calcium fortified fat free (skim),3.4,4.85,0,0.142708333,0.036,0.14,0.088,0.04,0.005,0.00038,1,0.0012,0.01,0,204,101,11,0.04,0.4,0.011,0.0000021,166,52,0
Milk reduced fat (2%),3.35,4.91,0,0.086458333,0.059,0.137,0.112,0.061,0.002,0.00055,0.2,0.0011,0.03,0.0002,126,103,12,0,0.43,0.001,0.0000018,159,39,0
Milk acidophilus low fat (1%),3.38,5.19,0,0.060416667,0.057,0.14,0.113,0.06,0.002,0.00061,0,0.0011,0.02,0.0001,126,103,12,0,0.43,0.001,0.0000021,159,39,0
Milk acidophilus reduced fat (2%),3.35,4.91,0,0.086458333,0.059,0.137,0.112,0.061,0.002,0.00055,0.2,0.0011,0.03,0.0002,126,103,12,0,0.43,0.001,0.0000018,159,39,0
Milk low fat (1%),3.38,5.19,0,0.060416667,0.057,0.14,0.113,0.06,0.002,0.00061,0,0.0011,0.02,0.0001,126,103,12,0,0.43,0.001,0.0000021,159,39,0
Milk fat free (skim),3.43,4.89,0,0.066666667,0.056,0.131,0.118,0.058,0.002,0.00058,0,0.0011,0,0,132,107,12,0,0.45,0.002,0.000002,167,41,0
Milk lactose free low fat (1%),3.38,5.19,0,0.060416667,0.057,0.14,0.113,0.06,0.002,0.00061,0,0.0011,0.02,0.0001,126,103,12,0,0.43,0.001,0.0000021,159,39,0
Milk lactose free fat free (skim),3.43,4.89,0,0.066666667,0.056,0.131,0.118,0.058,0.002,0.00058,0,0.0011,0,0,132,107,12,0,0.45,0.002,0.000002,167,41,0
Milk lactose free reduced fat (2%),3.35,4.91,0,0.086458333,0.059,0.137,0.112,0.061,0.002,0.00055,0.2,0.0011,0.03,0.0002,126,103,12,0,0.43,0.001,0.0000018,159,39,0
Milk lactose free whole,3.28,4.67,0,0.032333333,0.056,0.138,0.105,0.061,0,0.00054,0,0.0011,0.05,0.0003,123,101,12,0,0.41,0.001,0.0000019,150,38,0
Buttermilk fat free (skim),3.31,4.79,0,0.013583333,0.034,0.154,0.058,0.034,0.005,0.00022,1,0,0.05,0.0001,116,89,11,0.05,0.42,0.011,0.000002,151,148,0
Buttermilk low fat (1%),3.31,4.79,0,0.013583333,0.034,0.154,0.058,0.034,0.005,0.00022,1,0,0.05,0.0001,116,89,11,0.05,0.42,0.011,0.000002,151,148,0
Buttermilk reduced fat (2%),4.1,5.3,0,0.016666667,0.05,0.21,0.1,0.03,0.006,0.00037,1.5,0,0.11,0.0001,143,82,13,0.06,0.24,0.008,0.0000023,180,105,0
Buttermilk whole,3.21,4.88,0,0.047958333,0.047,0.172,0.09,0.036,0.005,0.00046,0,0.0013,0.07,0.0003,115,85,10,0.03,0.38,0.025,0.0000037,135,105,0
Kefir NS as to fat content,3.59,7.48,0,0.18125,0.03,0.172,0.128,0.059,0.018,0.0003,0.8,0.001,0.04,0.0006,124,100,12,0.04,0.45,0.009,0.0000036,159,38,0
Goat's milk whole,3.56,4.45,0,0.058375,0.048,0.138,0.277,0.046,0.001,0.00007,1.3,0.0013,0.07,0.0003,134,111,14,0.05,0.3,0.046,0.0000014,204,50,0
Milk dry reconstituted NS as to fat content,3.2,4.6,0,0.060416667,0.037,0.137,0.084,0.032,0.004,0.00036,0.6,0.001,0,0,114,86,11,0.03,0.37,0.013,0.0000024,159,51,0
Milk dry reconstituted whole,4.01,5.86,0,0.040625,0.043,0.184,0.099,0.046,0.006,0.0005,1.3,0.0016,0.09,0.0003,142,118,14,0.07,0.52,0.021,0.0000025,203,60,0
Milk dry reconstituted low fat (1%),3.17,4.55,0,0.067708333,0.036,0.136,0.083,0.032,0.004,0.00035,0.6,0.001,0.03,0.0001,113,85,11,0.03,0.37,0.013,0.0000024,157,51,0
Milk dry reconstituted fat free (skim),3.2,4.6,0,0.001041667,0.037,0.137,0.084,0.032,0.004,0.00036,0.6,0,0,0,114,86,11,0.03,0.37,0.013,0.0000024,159,51,0
Milk evaporated NS as to fat content,6.81,10.04,0,0.066708333,0.047,0.316,0.194,0.05,0.008,0.00016,1.9,0.002,0.14,0.0005,261,203,24,0.19,0.77,0.016,0.0000023,303,106,0
Milk evaporated whole,6.81,10.04,0,0.066708333,0.047,0.316,0.194,0.05,0.008,0.00016,1.9,0.002,0.14,0.0005,261,203,24,0.19,0.77,0.016,0.0000023,303,106,0
Milk evaporated reduced fat (2%),7.42,11.15,0,0.135458333,0.044,0.304,0.171,0.054,0.009,0.00024,1.2,0.002,0.05,0.0002,285,192,27,0.28,0.88,0.016,0.0000025,326,113,0
Milk evaporated fat free (skim),7.55,11.35,0,0.122916667,0.045,0.309,0.174,0.055,0.009,0.00024,1.2,0.002,0,0,290,195,27,0.29,0.9,0.016,0.0000025,332,115,0
Milk condensed sweetened,7.91,54.4,0,0.076083333,0.09,0.416,0.21,0.051,0.011,0.00044,2.6,0.0002,0.16,0.0006,284,253,26,0.19,0.94,0.015,0.0000148,371,127,0
Non-dairy milk NFS,1.04,3.75,0.2,0.080208333,0.009,0.062,0.171,0.009,0.003,0.00029,0,0.001,1.8,0.0009,164,19,8,0.32,0.12,0.062,0.0000008,80,60,0
Soy milk,2.6,4.92,0.2,0.057291667,0.029,0.184,0.425,0.031,0.009,0.00085,0,0.0011,0.11,0.003,123,43,15,0.42,0.26,0.165,0.0000023,122,47,0
Soy milk light,2.38,3.51,0.3,0.063541667,0.037,0.201,0.222,0.016,0.009,0.001,0,0.0012,0.06,0.0016,123,87,15,0.43,0.23,0.086,0.0000023,117,48,0
Soy milk nonfat,2.47,4.14,0.2,0.063541667,0.022,0.174,0.323,0.024,0.007,0.00023,0,0.001,0.08,0.0023,116,87,10,0.35,0.1,0.125,0.0000018,105,57,0
Soy milk chocolate,2.26,9.95,0.4,0.072916667,0.022,0.262,0.513,0.077,0.011,0.0007,1.7,0.001,0.11,0.003,126,51,15,0.48,0.34,0.206,0.0000048,143,53,23
Soy milk light chocolate,2.1,8.24,0.7,0.063541667,0.037,0.201,0.512,0.037,0.009,0.001,0,0.0012,0.13,0.0036,123,87,15,0.59,0.23,0.199,0.0000017,144,46,19
Soy milk nonfat chocolate,2.1,8.24,0.7,0.063541667,0.037,0.201,0.512,0.037,0.009,0.001,0,0.0012,0.13,0.0036,123,87,15,0.59,0.23,0.199,0.0000017,144,46,19
Almond milk sweetened,0.38,5.24,0.2,0.089583333,0,0.01,0.067,0,0.001,0,0,0.001,2.7,0,177,9,6,0.27,0.06,0.019,0.0000001,64,69,0
Almond milk sweetened chocolate,0.43,8.34,0.3,0.086458333,0,0.011,0.071,0,0.001,0,0,0.0009,2.61,0,171,11,7,0.3,0.08,0.03,0.0000002,67,67,6
Almond milk unsweetened,0.4,1.31,0.2,0.09375,0,0.01,0.07,0,0.001,0,0,0.001,2.81,0,184,9,6,0.28,0.06,0.02,0.0000001,67,72,0
Almond milk unsweetened chocolate,0.46,1.48,0.3,0.09375,0,0.011,0.076,0,0.001,0,0,0.001,2.8,0,184,11,7,0.32,0.08,0.031,0.0000001,71,72,6
Rice milk,0.28,9.17,0.3,0.065625,0.027,0.142,0.39,0.039,0.002,0.00063,0,0.001,0.47,0.0002,118,56,11,0.2,0.13,0.037,0.0000022,27,39,0
Coconut milk,0.21,2.92,0,0.065625,0,0,0,0,0,0.00063,0,0.001,0,0,188,0,0,0.3,0,0,0,19,19,0
Yogurt NFS,5.25,7.04,0,0.014583333,0.044,0.214,0.114,0.049,0.011,0.00056,0.8,0.0012,0.03,0.0002,183,144,17,0.08,0.89,0.013,0.0000033,234,70,0
Yogurt Greek NS as to type of milk or flavor,9.95,3.94,0,0.09375,0.044,0.233,0.197,0.055,0.012,0.00052,0.8,0,0.04,0.0002,115,137,11,0.04,0.6,0.021,0.0000124,141,34,0
Yogurt NS as to type of milk or flavor,5.25,7.04,0,0.014583333,0.044,0.214,0.114,0.049,0.011,0.00056,0.8,0.0012,0.03,0.0002,183,144,17,0.08,0.89,0.013,0.0000033,234,70,0
Yogurt NS as to type of milk plain,5.25,7.04,0,0.014583333,0.044,0.214,0.114,0.049,0.011,0.00056,0.8,0.0012,0.03,0.0002,183,144,17,0.08,0.89,0.013,0.0000033,234,70,0
Yogurt whole milk plain,3.47,4.66,0,0.028125,0.029,0.142,0.075,0.032,0.007,0.00037,0.5,0.0012,0.06,0.0002,121,95,12,0.05,0.59,0.009,0.0000022,155,46,0
Yogurt low fat milk plain,5.25,7.04,0,0.014583333,0.044,0.214,0.114,0.049,0.011,0.00056,0.8,0.0012,0.03,0.0002,183,144,17,0.08,0.89,0.013,0.0000033,234,70,0
Yogurt nonfat milk plain,5.73,7.68,0,0.002083333,0.048,0.234,0.124,0.053,0.012,0.00061,0.9,0.0012,0,0.0002,199,157,19,0.09,0.97,0.015,0.0000036,255,77,0
Yogurt Greek NS as to type of milk plain,9.95,3.94,0,0.09375,0.044,0.233,0.197,0.055,0.012,0.00052,0.8,0,0.04,0.0002,115,137,11,0.04,0.6,0.021,0.0000124,141,34,0
Yogurt Greek whole milk plain,9,3.98,0,0.001083333,0.023,0.278,0.208,0.063,0.005,0.00075,0,0,0.01,0,100,135,11,0,0.52,0.017,0.0000097,141,35,0
Yogurt Greek low fat milk plain,9.95,3.94,0,0.09375,0.044,0.233,0.197,0.055,0.012,0.00052,0.8,0,0.04,0.0002,115,137,11,0.04,0.6,0.021,0.0000124,141,34,0
Yogurt Greek nonfat milk plain,10.3,3.64,0,0.001041667,0.022,0.281,0.211,0.064,0.007,0.0007,0,0,0.01,0,111,136,11,0.07,0.53,0.017,0.0000099,141,36,0
Yogurt NS as to type of milk fruit,4.66,14.46,0.1,0.0125,0.041,0.197,0.105,0.046,0.011,0.00049,1.8,0.0012,0.04,0.0002,163,129,15,0.13,0.79,0.023,0.0000031,215,65,0
Yogurt whole milk fruit,3.1,12.36,0.1,0.025,0.027,0.134,0.07,0.031,0.007,0.00033,1.5,0.0012,0.07,0.0002,109,86,11,0.1,0.53,0.02,0.0000022,146,44,0
Yogurt low fat milk fruit,4.66,14.46,0.1,0.0125,0.041,0.197,0.105,0.046,0.011,0.00049,1.8,0.0012,0.04,0.0002,163,129,15,0.13,0.79,0.023,0.0000031,215,65,0
Yogurt nonfat milk fruit,5.09,15.02,0.1,0.002083333,0.044,0.215,0.113,0.049,0.012,0.00054,1.8,0.0012,0.01,0.0002,177,140,17,0.14,0.86,0.025,0.0000034,234,72,0
Yogurt Greek NS as to type of milk fruit,8.17,12.29,1,0.031291667,0.037,0.235,0.205,0.049,0.009,0.0005,0.7,0.0009,0.02,0,88,109,10,0.07,0.41,0.019,0.0000096,129,33,0
Yogurt Greek whole milk fruit,7.33,12.29,0,0.046916667,0.046,0.235,0.205,0.049,0.005,0.0005,0,0.0009,0.07,0.0003,100,109,10,0,0.41,0.019,0.0000096,113,37,0
Yogurt Greek low fat milk fruit,8.17,12.29,1,0.031291667,0.037,0.235,0.205,0.049,0.009,0.0005,0.7,0.0009,0.02,0,88,109,10,0.07,0.41,0.019,0.0000096,129,33,0
Yogurt Greek nonfat milk fruit,8.06,12.2,0.6,0,0.037,0.25,0.208,0.05,0.02,0.00045,0.2,0.0009,0.02,0,97,113,10,0.09,0.46,0.02,0.0000098,133,32,0
Yogurt NS as to type of milk flavors other than fruit,5.09,9.82,0,0.014583333,0.043,0.208,0.111,0.048,0.011,0.00054,0.8,0.0012,0.03,0.0002,178,140,16,0.08,0.86,0.013,0.0000032,227,68,0
Yogurt whole milk flavors other than fruit,3.3,9.41,0,0.027083333,0.028,0.136,0.071,0.03,0.007,0.00035,0.5,0.0012,0.06,0.0002,115,90,11,0.05,0.56,0.009,0.0000021,147,44,0
Yogurt low fat milk flavors other than fruit,5.09,9.82,0,0.014583333,0.043,0.208,0.111,0.048,0.011,0.00054,0.8,0.0012,0.03,0.0002,178,140,16,0.08,0.86,0.013,0.0000032,227,68,0
Yogurt nonfat milk flavors other than fruit,5.56,10.44,0,0.002083333,0.047,0.228,0.12,0.051,0.012,0.00059,0.9,0.0012,0,0.0002,193,152,18,0.09,0.94,0.015,0.0000035,247,75,0
Yogurt Greek NS as to type of milk flavors other than fruit,8.64,9.54,0,0.114583333,0.038,0.24,0.201,0.05,0.009,0.00064,0,0.0009,0.02,0.0002,100,119,10,0.04,0.46,0.018,0.0000097,123,40,0
Yogurt Greek whole milk flavors other than fruit,8.47,9.35,0,0.129208333,0.037,0.235,0.197,0.049,0.009,0.00063,0,0.0009,0.08,0.0004,98,117,10,0.04,0.45,0.018,0.0000095,121,39,0
Yogurt Greek low fat milk flavors other than fruit,8.64,9.54,0,0.114583333,0.038,0.24,0.201,0.05,0.009,0.00064,0,0.0009,0.02,0.0002,100,119,10,0.04,0.46,0.018,0.0000097,123,40,0
Yogurt Greek nonfat milk flavors other than fruit,8.64,10.37,0.5,0,0.042,0.24,0.201,0.05,0.011,0.00064,0,0.0009,0.02,0.0001,99,119,10,0.04,0.46,0.018,0.0000097,123,34,0
Yogurt Greek with oats,8.9,22.38,1.9,0.091666667,0.094,0.23,0.511,0.077,0.013,0.00053,0.1,0.0007,0.24,0.0023,96,165,27,0.64,0.75,0.063,0.0000102,184,53,0
Yogurt liquid,3.71,11.81,0.1,0.010416667,0.032,0.157,0.083,0.036,0.009,0.00039,1.4,0.0012,0.03,0.0001,131,103,12,0.1,0.63,0.021,0.0000025,171,53,0
Chipotle dip yogurt based,7.93,3.33,0,0.076083333,0.037,0.186,0.177,0.054,0.011,0.00043,3.4,0,0.68,0.032,92,111,9,0.09,0.5,0.022,0.0000101,119,636,0
Dill dip yogurt based,8.16,3.76,0.3,0.076083333,0.038,0.207,0.25,0.054,0.012,0.00043,1.9,0,0.75,0.0449,103,115,13,0.29,0.55,0.028,0.0000102,141,641,0
Onion dip yogurt based,6.82,4.07,0.2,0.06875,0.041,0.168,0.147,0.054,0.01,0.00042,1.1,0.0002,0.53,0.025,93,105,10,0.08,0.47,0.019,0.0000082,126,507,0
Ranch dip yogurt based,8.48,4.13,0.3,0.076083333,0.042,0.222,0.257,0.056,0.012,0.00046,1.9,0,0.75,0.0449,114,123,14,0.29,0.58,0.029,0.0000104,154,646,0
Spinach dip yogurt based,7.02,3.6,0.3,0.070666667,0.043,0.179,0.17,0.054,0.017,0.00042,0.7,0.0002,0.8,0.0662,103,106,15,0.21,0.49,0.028,0.0000086,136,514,0
Tzatziki dip,5.35,3.95,0.2,0.001125,0.025,0.169,0.16,0.06,0.006,0.00042,2,0,0.52,0.0082,64,86,11,0.14,0.38,0.027,0.0000057,139,307,0
Vegetable dip yogurt based,8.16,3.76,0.3,0.076083333,0.038,0.207,0.25,0.054,0.012,0.00043,1.9,0,0.75,0.0449,103,115,13,0.29,0.55,0.028,0.0000102,141,641,0
Yogurt parfait low fat with fruit,3.36,15.86,1.1,0.03025,0.07,0.173,0.714,0.233,0.051,0.00088,14.3,0.0012,0.25,0.0017,105,93,17,0.49,0.89,0.054,0.0000039,189,49,0
Frozen yogurt NFS,3,21.6,0,0.050041667,0.04,0.18,0.07,0.04,0.004,0.00007,0.7,0.0001,0.09,0.0003,100,89,10,0.46,0.28,0.009,0.0000019,156,63,0
Frozen yogurt vanilla,3,21.6,0,0.050041667,0.04,0.18,0.07,0.04,0.004,0.00007,0.7,0.0001,0.09,0.0003,100,89,10,0.46,0.28,0.009,0.0000019,156,63,0
Frozen yogurt chocolate,3,21.6,2.3,0.039625,0.04,0.18,0.14,0.04,0.012,0.00007,0,0.0001,0.09,0.0003,100,89,25,0.46,0.28,0.054,0.0000019,234,63,106
Frozen yogurt soft serve vanilla,4,24.2,0,0.060458333,0.037,0.224,0.287,0.08,0.006,0.00029,0.8,0.0001,0.11,0.0003,143,129,14,0.3,0.42,0.04,0.0000033,211,87,0
Frozen yogurt soft serve chocolate,4.31,24.87,0.7,0.059416667,0.038,0.224,0.325,0.081,0.007,0.00028,0.8,0.0001,0.11,0.0003,143,141,24,0.57,0.55,0.115,0.0000035,237,86,41
Frozen yogurt sandwich,3.9,34.38,0.8,0.038583333,0.081,0.202,0.767,0.043,0.015,0.00008,0.5,0.0001,0.25,0.0008,83,100,21,1.35,0.48,0.123,0.0000028,170,192,88
Frozen yogurt bar vanilla,3,21.6,0,0.050041667,0.04,0.18,0.07,0.04,0.004,0.00007,0.7,0.0001,0.09,0.0003,100,89,10,0.46,0.28,0.009,0.0000019,156,63,0
Frozen yogurt bar chocolate,3,21.6,2.3,0.039625,0.04,0.18,0.14,0.04,0.012,0.00007,0,0.0001,0.09,0.0003,100,89,25,0.46,0.28,0.054,0.0000019,234,63,106
Frozen yogurt cone chocolate,3.2,23.9,2.3,0.037541667,0.048,0.187,0.311,0.04,0.018,0.00007,0,0.0001,0.12,0.0004,97,89,25,0.59,0.3,0.06,0.000002,229,71,102
Frozen yogurt cone vanilla,3.2,23.9,0.1,0.047958333,0.048,0.187,0.244,0.04,0.011,0.00007,0.7,0.0001,0.12,0.0004,97,89,11,0.59,0.3,0.017,0.000002,154,71,0
Frozen yogurt cone vanilla waffle cone,3.29,25.28,0.1,0.046916667,0.068,0.193,0.364,0.041,0.012,0.00007,0.7,0.0001,0.09,0.0004,97,90,11,0.69,0.31,0.024,0.0000021,155,77,0
Frozen yogurt cone chocolate waffle cone,3.29,25.28,2.3,0.037541667,0.068,0.193,0.43,0.041,0.02,0.00007,0,0.0001,0.09,0.0004,97,90,25,0.69,0.31,0.067,0.0000021,229,77,100
Yogurt whole milk baby food,3.47,4.66,0,0.028125,0.029,0.142,0.075,0.032,0.007,0.00037,0.5,0.0012,0.06,0.0002,121,95,12,0.05,0.59,0.009,0.0000022,155,46,0
Yogurt whole milk baby food with fruit and multigrain cereal puree NFS,3.4,13.22,0.3,0.024,0.047,0.129,0.119,0.034,0.008,0.00032,1.4,0.0001,0.07,0.0003,107,95,15,0.15,0.59,0.023,0.0000028,149,41,0
Yogurt whole milk baby food with fruit and multigrain cereal puree plus iron,3.05,13,0.6,0.021916667,0.048,0.12,0.119,0.036,0.007,0.00029,3.6,0,0.09,0.0009,98,86,15,4.18,0.54,0.031,0.0000024,143,38,0
Yogurt whole milk baby food with fruit and multigrain cereal puree plus DHA,3.4,13.22,0.3,0.024,0.047,0.129,0.119,0.034,0.008,0.00032,1.4,0.0001,0.07,0.0003,107,95,15,0.15,0.59,0.023,0.0000028,149,41,0
Chocolate milk NFS,3.39,13.46,0,0.065666667,0.045,0.166,0.164,0.024,0.002,0.00032,1,0.0011,0.04,0.0002,127,101,13,0.27,0.41,0.075,0.0000019,182,79,22
Chocolate milk ready to drink whole,3.17,10.34,0.8,0.027125,0.037,0.162,0.125,0.04,0.005,0.00033,0.9,0.0013,0.07,0.0003,112,101,13,0.24,0.41,0.065,0.0000019,167,60,23
Chocolate milk ready to drink reduced fat,2.99,12.13,0.7,0.065666667,0.045,0.183,0.164,0.024,0.002,0.00033,0,0.0012,0.04,0.0002,109,102,14,0.24,0.39,0.075,0.0000034,169,66,22
Chocolate milk ready to drink fat free,3.39,13.46,0,0.065666667,0.045,0.166,0.164,0.024,0.002,0.00032,1,0.0011,0.04,0.0002,127,101,13,0.27,0.41,0.075,0.0000019,182,79,22
Chocolate milk ready to drink low fat,3.46,10.15,0.1,0.053166667,0.031,0.247,0.124,0.047,0.003,0.00023,0.4,0.0011,0,0.0001,129,96,13,0.23,0.43,0.028,0.0000019,172,65,12
Chocolate milk ready to drink reduced sugar NS as to milk,3.43,7.68,0,0.1,0.035,0.225,0.122,0.05,0.005,0.0002,0,0.0015,0,0.0001,122,98,13,0.16,0.46,0.018,0.0000019,168,66,6
Chocolate milk ready to drink low fat (Nesquik),3.46,10.15,0.1,0.053166667,0.031,0.247,0.124,0.047,0.003,0.00023,0.4,0.0011,0,0.0001,129,96,13,0.23,0.43,0.028,0.0000019,172,65,12
Chocolate milk ready to drink fat free (Nesquik),3.39,13.46,0,0.065666667,0.045,0.166,0.164,0.024,0.002,0.00032,1,0.0011,0.04,0.0002,127,101,13,0.27,0.41,0.075,0.0000019,182,79,22
Chocolate milk ready to drink low fat no sugar added (Nesquik),3.46,10.15,0.1,0.053166667,0.031,0.247,0.124,0.047,0.003,0.00023,0.4,0.0011,0,0.0001,129,96,13,0.23,0.43,0.028,0.0000019,172,65,12
Hot chocolate / Cocoa ready to drink,2.72,16.54,0,0.070833333,0.047,0.117,0.123,0.049,0.002,0.00042,0.2,0.0009,0.03,0.0002,102,95,17,0,0.45,0.058,0.0000017,152,60,30
Hot chocolate / Cocoa ready to drink made with nonfat milk,2.79,16.52,0,0.054166667,0.044,0.112,0.128,0.046,0.002,0.00045,0,0.0009,0,0,107,98,18,0,0.47,0.059,0.0000019,159,61,30
Hot chocolate / Cocoa ready to drink made with non-dairy milk,1.21,16.68,0.2,0.060416667,0.013,0.085,0.232,0.014,0.005,0.00035,0,0.0008,1.14,0.0013,122,32,16,0.28,0.23,0.132,0.0000013,99,75,30
Hot chocolate / Cocoa ready to drink with whipped cream,2.73,15.89,0,0.0875,0.045,0.121,0.121,0.048,0.002,0.00041,0.2,0.0009,0.07,0.0003,101,93,17,0,0.44,0.056,0.0000018,149,58,29
Hot chocolate / Cocoa ready to drink made with nonfat milk and whipped cream,2.79,15.87,0,0.071875,0.043,0.116,0.125,0.046,0.002,0.00043,0,0.0009,0.04,0.0002,105,96,17,0,0.46,0.057,0.000002,156,60,29
Hot chocolate / Cocoa ready to drink made with non-dairy milk and whipped cream,1.29,16.02,0.2,0.077083333,0.013,0.09,0.224,0.015,0.005,0.00034,0,0.0009,1.13,0.0013,119,33,15,0.27,0.23,0.127,0.0000013,98,73,29
Chocolate milk made from dry mix NS as to type of milk,3.41,10.13,0.3,0.057291667,0.054,0.132,0.115,0.112,0.001,0.00053,1.7,0.001,0.03,0.0002,146,102,15,0,0.82,0.057,0.0000019,164,45,17
Chocolate milk made from dry mix with whole milk,3.36,9.94,0.3,0.03025,0.053,0.133,0.111,0.113,0,0.00051,1.7,0.001,0.05,0.0003,143,100,14,0,0.8,0.057,0.0000019,158,44,17
Chocolate milk made from dry mix with reduced fat milk,3.42,10.16,0.3,0.08125,0.056,0.132,0.117,0.113,0.002,0.00052,1.9,0.001,0.03,0.0002,146,102,15,0,0.82,0.057,0.0000018,166,45,17
Chocolate milk made from dry mix with low fat milk,3.45,10.43,0.3,0.05625,0.054,0.135,0.118,0.112,0.002,0.00057,1.7,0.001,0.02,0.0001,146,102,15,0,0.82,0.057,0.0000021,166,45,17
Chocolate milk made from dry mix with fat free milk,3.5,10.14,0.3,0.0625,0.053,0.126,0.123,0.11,0.002,0.00054,1.7,0.001,0,0.0001,152,106,15,0,0.84,0.058,0.000002,174,47,17
Chocolate milk made from dry mix with non-dairy milk,1.68,10.32,0.5,0.06875,0.014,0.094,0.243,0.07,0.005,0.0004,1.7,0.001,1.32,0.0015,169,30,13,0.32,0.57,0.142,0.0000013,105,63,17
Chocolate milk made from reduced sugar mix NS as to type of milk,3.59,7.61,0.4,0.058333333,0.119,0.146,1.21,0.136,0.002,0.00054,2.4,0.0011,0.03,0.0002,159,120,29,0.14,1,0.079,0.0000028,224,59,0
Chocolate milk made from reduced sugar mix with whole milk,3.53,7.42,0.4,0.031291667,0.118,0.147,1.205,0.137,0,0.00052,2.4,0.0011,0.05,0.0003,157,118,29,0.14,0.98,0.079,0.0000028,217,58,0
Chocolate milk made from reduced sugar mix with reduced fat milk,3.6,7.64,0.4,0.082291667,0.121,0.146,1.211,0.137,0.002,0.00053,2.5,0.0011,0.03,0.0002,160,120,29,0.14,1,0.079,0.0000027,226,59,0
Chocolate milk made from reduced sugar mix with low fat milk,3.63,7.91,0.4,0.057291667,0.119,0.149,1.212,0.136,0.002,0.00058,2.4,0.0011,0.02,0.0001,160,120,29,0.14,1,0.079,0.000003,226,59,0
Chocolate milk made from reduced sugar mix with fat free milk,3.67,7.63,0.4,0.063541667,0.118,0.14,1.217,0.134,0.002,0.00056,2.4,0.0011,0,0,166,124,30,0.14,1.02,0.08,0.0000029,233,61,0
Chocolate milk made from reduced sugar mix with non-dairy milk,1.82,7.81,0.6,0.070833333,0.079,0.108,1.34,0.093,0.005,0.00041,2.4,0.001,1.34,0.0014,183,46,28,0.47,0.74,0.166,0.0000021,163,77,0
Chocolate milk made from dry mix NS as to type of milk (Nesquik),3.41,10.13,0.3,0.057291667,0.054,0.132,0.115,0.112,0.001,0.00053,1.7,0.001,0.03,0.0002,146,102,15,0,0.82,0.057,0.0000019,164,45,17
Chocolate milk made from dry mix with whole milk (Nesquik),3.36,9.94,0.3,0.03025,0.053,0.133,0.111,0.113,0,0.00051,1.7,0.001,0.05,0.0003,143,100,14,0,0.8,0.057,0.0000019,158,44,17
Chocolate milk made from dry mix with reduced fat milk (Nesquik),3.42,10.16,0.3,0.08125,0.056,0.132,0.117,0.113,0.002,0.00052,1.9,0.001,0.03,0.0002,146,102,15,0,0.82,0.057,0.0000018,166,45,17
Chocolate milk made from dry mix with low fat milk (Nesquik),3.45,10.43,0.3,0.05625,0.054,0.135,0.118,0.112,0.002,0.00057,1.7,0.001,0.02,0.0001,146,102,15,0,0.82,0.057,0.0000021,166,45,17
Chocolate milk made from dry mix with fat free milk (Nesquik),3.5,10.14,0.3,0.0625,0.053,0.126,0.123,0.11,0.002,0.00054,1.7,0.001,0,0.0001,152,106,15,0,0.84,0.058,0.000002,174,47,17
Chocolate milk made from dry mix with non-dairy milk (Nesquik),1.68,10.32,0.5,0.06875,0.014,0.094,0.243,0.07,0.005,0.0004,1.7,0.001,1.32,0.0015,169,30,13,0.32,0.57,0.142,0.0000013,105,63,17
Chocolate milk made from no sugar added dry mix NS as to type of milk (Nesquik),3.59,7.61,0.4,0.058333333,0.119,0.146,1.21,0.136,0.002,0.00054,2.4,0.0011,0.03,0.0002,159,120,29,0.14,1,0.079,0.0000028,224,59,0
Chocolate milk made from no sugar added dry mix with whole milk (Nesquik),3.53,7.42,0.4,0.031291667,0.118,0.147,1.205,0.137,0,0.00052,2.4,0.0011,0.05,0.0003,157,118,29,0.14,0.98,0.079,0.0000028,217,58,0
Chocolate milk made from no sugar added dry mix with reduced fat milk (Nesquik),3.6,7.64,0.4,0.082291667,0.121,0.146,1.211,0.137,0.002,0.00053,2.5,0.0011,0.03,0.0002,160,120,29,0.14,1,0.079,0.0000027,226,59,0
